name,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,hp,defense + hit,height_m,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,attack&defense,Total
Magikarp,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,1280,70,200,255,Fish Pokémon,55,1250000,20,75,0.9,Magikarp,50,129,15,20,80,water,,10,1,0,35,190
Caterpie,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,Worm Pokémon,35,1000000,45,80,0.3,Caterpie,50,10,20,20,45,bug,,2.9,1,0,40,165
Weedle,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,Hairy Pokémon,30,1000000,40,70,0.3,Weedle,50,13,20,20,50,bug,poison,3.2,1,0,40,160
Sandshrew,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,Mouse Pokémon,90,1000000,50,140,,Sandshrew,50,27,10,35,40,ground,ice,,1,0,45,225
Wurmple,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,3840,70,195,255,Worm Pokémon,35,1000000,45,80,0.3,Wurmple,50,265,20,30,20,bug,,3.6,3,0,50,150
Krabby,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,325,225,River Crab Pokémon,90,1000000,30,120,0.4,Krabby,50,98,25,25,50,water,,6.5,1,0,50,220
Wooper,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5120,70,210,255,Water Fish Pokémon,45,1000000,55,100,0.4,Wooper,50,194,25,25,15,water,ground,8.5,2,0,50,165
Metapod,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,Cocoon Pokémon,55,1000000,50,105,0.7,Metapod,50,11,25,25,30,bug,,9.9,1,0,50,185
Kakuna,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,Cocoon Pokémon,50,1000000,45,95,0.6,Kakuna,50,14,25,25,35,bug,poison,10,1,0,50,180
Silcoon,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon Pokémon,55,1000000,50,105,0.6,Silcoon,50,266,25,25,15,bug,,10,3,0,50,170
Cascoon,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon Pokémon,55,1000000,50,105,0.7,Cascoon,50,268,25,25,15,bug,,11.5,3,0,50,170
